	iid	bam	sex
40	PTN510	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN510/trimmed_bam/PTN510_ss.A0101_udghalf.trimmed.bam	m
41	WIN031	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIN/WIN031/trimmed_bam/WIN031_ss.A0101_udghalf.trimmed.bam	m
42	PTN231	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN231/merged_bams/initial/PTN231_ss_udghalf_libmerged_rmdup.bam	m
43	WIT004	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIT/WIT004/trimmed_bam/WIT004_ss.A0101_udgnone.trimmed.bam	m
44	PTN261	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN261/merged_bams/initial/PTN261_ss_udghalf_libmerged_rmdup.bam	m
45	WIT005	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIT/WIT005/trimmed_bam/WIT005_ss.A0101_udgnone.trimmed.bam	m
46	PTN513	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN513/trimmed_bam/PTN513_ss.A0101_udghalf.trimmed.bam	m
47	PTN168	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN168/merged_bams/initial/PTN168_ss_udghalf_libmerged_rmdup.bam	m
48	PTN147	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN147/trimmed_bam/PTN147_ss.B0101_udghalf.trimmed.bam	m
49	KKH012	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH012/trimmed_bam/KKH012_ss.A0101_udghalf.trimmed.bam	m
50	ENR003	/mnt/archgen/Autorun_eager/eager_outputs/SG/ENR/ENR003/trimmed_bam/ENR003_ss.A0101_udghalf.trimmed.bam	m
51	PTN088	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN088/trimmed_bam/PTN088_ss.A0101_udghalf.trimmed.bam	m
52	PTN472	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN472/trimmed_bam/PTN472_ss.A0101_udghalf.trimmed.bam	m
53	PTN113	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN113/trimmed_bam/PTN113_ss.A0101_udghalf.trimmed.bam	m
54	WIN022	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIN/WIN022/trimmed_bam/WIN022_ss.A0101_udghalf.trimmed.bam	m
55	PTN560	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN560/trimmed_bam/PTN560_ss.A0101_udghalf.trimmed.bam	m
56	PTN190	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN190/merged_bams/initial/PTN190_ss_udghalf_libmerged_rmdup.bam	m
57	PTN332	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN332/trimmed_bam/PTN332_ss.A0101_udghalf.trimmed.bam	m
58	PTN508	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN508/trimmed_bam/PTN508_ss.A0101_udghalf.trimmed.bam	m
59	PTN071	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN071/merged_bams/additional/PTN071_ss_libmerged_add.bam	m
60	PTN013	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN013/merged_bams/additional/PTN013_ss_libmerged_add.bam	m
61	PTN196	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN196/merged_bams/initial/PTN196_ss_udghalf_libmerged_rmdup.bam	m
62	PTN507	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN507/trimmed_bam/PTN507_ss.A0101_udghalf.trimmed.bam	m
63	PTN497	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN497/trimmed_bam/PTN497_ss.A0101_udghalf.trimmed.bam	m
64	PTN527	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN527/trimmed_bam/PTN527_ss.A0101_udghalf.trimmed.bam	m
65	PTN534	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN534/trimmed_bam/PTN534_ss.A0101_udghalf.trimmed.bam	m
66	PTN366	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN366/trimmed_bam/PTN366_ss.A0101_udghalf.trimmed.bam	m
67	PTN504	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN504/trimmed_bam/PTN504_ss.A0101_udghalf.trimmed.bam	m
68	WIN066	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIN/WIN066/trimmed_bam/WIN066_ss.A0101_udghalf.trimmed.bam	m
69	PTN286	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN286/trimmed_bam/PTN286_ss.A0101_udghalf.trimmed.bam	m
70	PTN240	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN240/merged_bams/initial/PTN240_ss_udghalf_libmerged_rmdup.bam	m
71	PTN546	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN546/trimmed_bam/PTN546_ss.A0101_udghalf.trimmed.bam	m
72	PTN564	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN564/trimmed_bam/PTN564_ss.A0101_udghalf.trimmed.bam	m
73	PTN520	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN520/trimmed_bam/PTN520_ss.A0101_udghalf.trimmed.bam	m
74	PTN349	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN349/trimmed_bam/PTN349_ss.A0101_udghalf.trimmed.bam	m
75	PTN340	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN340/trimmed_bam/PTN340_ss.B0101_udghalf.trimmed.bam	m
76	PTN284	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN284/trimmed_bam/PTN284_ss.A0101_udghalf.trimmed.bam	m
77	WSQ001	/mnt/archgen/Autorun_eager/eager_outputs/SG/WSQ/WSQ001/trimmed_bam/WSQ001_ss.B0101_udghalf.trimmed.bam	m
78	PTN359	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN359/trimmed_bam/PTN359_ss.A0101_udghalf.trimmed.bam	m
79	PTN103	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN103/trimmed_bam/PTN103_ss.A0101_udghalf.trimmed.bam	m
80	PTN551	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN551/trimmed_bam/PTN551_ss.A0101_udghalf.trimmed.bam	m
81	PTN401	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN401/trimmed_bam/PTN401_ss.A0101_udghalf.trimmed.bam	m
82	PTN412	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN412/trimmed_bam/PTN412_ss.A0101_udghalf.trimmed.bam	m
83	PTN160	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN160/trimmed_bam/PTN160_ss.A0101_udghalf.trimmed.bam	m
84	PTN211	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN211/merged_bams/initial/PTN211_ss_udghalf_libmerged_rmdup.bam	m
85	PTN289	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN289/trimmed_bam/PTN289_ss.A0101_udghalf.trimmed.bam	m
86	PTN251	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN251/merged_bams/initial/PTN251_ss_udghalf_libmerged_rmdup.bam	m
87	PTN257	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN257/trimmed_bam/PTN257_ss.A0101_udghalf.trimmed.bam	m
88	PTN336	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN336/trimmed_bam/PTN336_ss.A0101_udghalf.trimmed.bam	m
89	PTN326	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN326/merged_bams/initial/PTN326_ss_udghalf_libmerged_rmdup.bam	m
90	PTN447	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN447/trimmed_bam/PTN447_ss.A0101_udghalf.trimmed.bam	m
91	PTN297	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN297/trimmed_bam/PTN297_ss.B0101_udghalf.trimmed.bam	m
92	PTN432	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN432/trimmed_bam/PTN432_ss.A0101_udghalf.trimmed.bam	m
93	PTN268	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN268/trimmed_bam/PTN268_ss.B0101_udghalf.trimmed.bam	m
94	PTN346	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN346/trimmed_bam/PTN346_ss.B0101_udghalf.trimmed.bam	m
95	PTN451	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN451/trimmed_bam/PTN451_ss.B0101_udghalf.trimmed.bam	m
96	PTN116	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN116/trimmed_bam/PTN116_ss.A0101_udghalf.trimmed.bam	m
97	PTN347	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN347/trimmed_bam/PTN347_ss.B0101_udghalf.trimmed.bam	m
