iid	bam	sex
PTN496	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN496/trimmed_bam/PTN496_ss.A0101_udghalf.trimmed.bam	m
PTN094	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN094/trimmed_bam/PTN094_ss.A0101_udghalf.trimmed.bam	f
KKH005	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH005/trimmed_bam/KKH005_ss.A0101_udghalf.trimmed.bam	m
PTN078	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN078/trimmed_bam/PTN078_ss.A0101_udghalf.trimmed.bam	f
PTN014	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN014/merged_bams/additional/PTN014_ss_libmerged_add.bam	m
PTN431	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN431/trimmed_bam/PTN431_ss.A0101_udghalf.trimmed.bam	f
PTN083	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN083/trimmed_bam/PTN083_ss.A0101_udghalf.trimmed.bam	f
PTN039	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN039/merged_bams/additional/PTN039_ss_libmerged_add.bam	m
PTN442	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN442/trimmed_bam/PTN442_ss.A0101_udghalf.trimmed.bam	f
PTN149	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN149/trimmed_bam/PTN149_ss.A0101_udghalf.trimmed.bam	f
PTN192	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN192/merged_bams/initial/PTN192_ss_udghalf_libmerged_rmdup.bam	f
PTN022	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN022/merged_bams/additional/PTN022_ss_libmerged_add.bam	f
PTN353	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN353/trimmed_bam/PTN353_ss.A0101_udghalf.trimmed.bam	f
PTN305	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN305/trimmed_bam/PTN305_ss.A0101_udghalf.trimmed.bam	f
PTN123	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN123/trimmed_bam/PTN123_ss.B0101_udghalf.trimmed.bam	f
PTN033	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN033/merged_bams/additional/PTN033_ss_libmerged_add.bam	f
PTN187	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN187/merged_bams/initial/PTN187_ss_udghalf_libmerged_rmdup.bam	m
PTN193	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN193/merged_bams/initial/PTN193_ss_udghalf_libmerged_rmdup.bam	m
PTN485	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN485/trimmed_bam/PTN485_ss.A0101_udghalf.trimmed.bam	m
PTN433	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN433/trimmed_bam/PTN433_ss.A0101_udghalf.trimmed.bam	f
PTN222	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN222/merged_bams/initial/PTN222_ss_udghalf_libmerged_rmdup.bam	m
PTN256	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN256/trimmed_bam/PTN256_ss.A0101_udghalf.trimmed.bam	m
PTN235	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN235/merged_bams/initial/PTN235_ss_udghalf_libmerged_rmdup.bam	f
PTN188	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN188/merged_bams/initial/PTN188_ss_udghalf_libmerged_rmdup.bam	f
PTN226	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN226/merged_bams/initial/PTN226_ss_udghalf_libmerged_rmdup.bam	m
PTN146	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN146/trimmed_bam/PTN146_ss.A0101_udghalf.trimmed.bam	m
PTN426	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN426/trimmed_bam/PTN426_ss.A0101_udghalf.trimmed.bam	f
PTN388	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN388/trimmed_bam/PTN388_ss.A0101_udghalf.trimmed.bam	f
PTN479	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN479/trimmed_bam/PTN479_ss.A0101_udghalf.trimmed.bam	f
PTN279	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN279/trimmed_bam/PTN279_ss.A0101_udghalf.trimmed.bam	f
PTN028	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN028/merged_bams/additional/PTN028_ss_libmerged_add.bam	f
PTN231	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN231/merged_bams/initial/PTN231_ss_udghalf_libmerged_rmdup.bam	m
WIT004	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIT/WIT004/trimmed_bam/WIT004_ss.A0101_udgnone.trimmed.bam	m
PTN098	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN098/trimmed_bam/PTN098_ss.A0101_udghalf.trimmed.bam	f
PTN261	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN261/trimmed_bam/PTN261_ss.A0101_udghalf.trimmed.bam	m
PTN007	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN007/merged_bams/additional/PTN007_ss_libmerged_add.bam	f
WIT005	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIT/WIT005/trimmed_bam/WIT005_ss.A0101_udgnone.trimmed.bam	m
PTN168	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN168/merged_bams/initial/PTN168_ss_udghalf_libmerged_rmdup.bam	m
PTN147	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN147/trimmed_bam/PTN147_ss.B0101_udghalf.trimmed.bam	m
KKH012	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH012/trimmed_bam/KKH012_ss.A0101_udghalf.trimmed.bam	m
PTN270	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN270/trimmed_bam/PTN270_ss.A0101_udghalf.trimmed.bam	f
PTN172	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN172/merged_bams/initial/PTN172_ss_udghalf_libmerged_rmdup.bam	f
PTN207	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN207/merged_bams/initial/PTN207_ss_udghalf_libmerged_rmdup.bam	f
PTN350	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN350/trimmed_bam/PTN350_ss.A0101_udghalf.trimmed.bam	f
PTN291	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN291/trimmed_bam/PTN291_ss.A0101_udghalf.trimmed.bam	f
